Course ID,Date Added,Collection Language,Course Title,Category,Subcategory
2365872,2022-01-15,EN,Marketing Analytics: Forecasting Models with Excel,Marketing,Marketing Analytics & Automation
400282,2022-01-15,EN,Sales Forecasting,Sales,Sales Skills & Tools
3585042,2022-01-14,EN,Master Agile Estimation: Top Techniques for Scrum & Kanban,Project Management & Operations,Agile & Scrum
4408262,2022-01-14,EN,"Build A Strong Relationship With Your Manager
",Leadership & Management,Leadership
4373264,2022-01-14,EN,"The Accountability Bootcamp for Managers
",Leadership & Management,Management
3901012,2022-01-14,EN,Business Intelligence with Power BI Desktop,Office Productivity,Analytics
1346516,2022-01-14,EN,Microsoft Excel Data Analysis and Dashboard Reporting,Office Productivity,Database Administration
2734336,2022-01-14,EN,Project Finance Overview - from Inception to Financial Close,Finance & Accounting,Financial Modeling & Analysis
4461560,2022-01-13,EN,Keep Moving Forward Seminar,Personal Development,Personal Growth
4320094,2022-01-13,EN,SAP WM : Warehouse Management (Beginning to Advanced),IT Operations,Operating Systems & Servers
1541872,2022-01-13,EN,MetaTrader 5: A Forex Trading Platform for Everyone,Finance & Accounting,Investing & Trading
4003258,2022-01-13,EN,Praxistests | ISTQB Foundation Level Zertifizierung,IT Operations,IT Certifications
3795590,2022-01-13,EN,Complete Terraform Course - Beginner to Advanced [2021],Cloud Computing,Cloud Development
3900570,2022-01-13,EN,Active Directory Pentesting Full Course - Red Team Hacking,IT Operations,Network & Security
4342206,2022-01-12,EN,AZ-305 Exam Prep: Designing Azure Infrastructure Solutions,Cloud Computing,Cloud Certification
3836432,2022-01-12,EN,Complete Electronics Hardware Design Course 2021 -EsteemPCB,IT Operations,Hardware
3969182,2022-01-12,EN,Python Programming Master Course (2022),Development,Programming Languages
1941072,2022-01-12,EN,Oracle BPM 12c for Beginners (step-by-step),Development,Web Development
4463850,2022-01-12,EN,CompTIA PenTest+ (PT0-002) Practice Certification Exams,IT Operations,IT Certifications
4397344,2022-01-12,EN,CASP+ (CAS-004) Full-length Practice Certification Exams,IT Operations,IT Certifications
2418196,2022-01-12,EN,Workplace Praise: Leaders Powerful Motivational Tool,Leadership & Management,Management
3135038,2022-01-12,EN,Improve your Business English: English for Presentations,Personal Development,Language Learning
1935180,2022-01-12,EN,Be a better UX designer by understanding development aspects,Design,User Experience Design
4424420,2022-01-12,EN,Metaverse Masterclass- Learn Everything about the Metaverse!	,Finance & Accounting,Finance Fundamentals
4410596,2022-01-12,EN,Build FoodPanda & Uber Eats Clone App with Admin WEB Portal,Development,Mobile Development
950214,2022-01-12,EN,Project Programme and Portfolio Governance	,Project Management & Operations,Project Management Fundamentals
4253526,2022-01-11,EN,Build Amazing Apps With ANGULAR and ASP.NET Core Web API,Development,Web Development
